state3,steps,sum_pnl,mean_pnl,mean_option_pnl,mean_hedge_pnl,mean_agent_minus_bs,mean_delta_gap,year,portfolio,share_negative_steps,share_negative_loss
spot_up/option_up/iv_up,497,-15.827564751616691,-0.03184620674369556,0.5032485592940621,-0.535094766696357,-0.0032715809166427275,-0.008235933953648453,2020,agent,0.08697934896744837,0.0219340524689386
spot_down/option_down/iv_down,1249,-96.75096934272023,-0.07746274567071275,-0.2875103712212448,0.21004762566490584,-0.011691959235985584,-0.032585394600420876,2021,agent,0.17716312056737588,0.24796779351026071
spot_down/option_down/iv_flat,28,-2.1660476530005424,-0.07735884475001938,-0.20080893523781035,0.12345009060092582,-0.023621618470855987,-0.04099843584383105,2021,agent,0.003971631205673759,0.005551469518098805
spot_down/option_down/iv_up,1827,-46.349624918469935,-0.025369252828938114,-0.22901577480541904,0.20364652208312842,-0.025408456957811635,-0.03993009940382683,2021,agent,0.2591489361702128,0.11879172166584566
spot_up/option_down/iv_down,783,-41.737609465405704,-0.05330473750371099,-0.026500519340415456,-0.02680421814622091,0.009959939682543066,-0.03818685063909565,2021,agent,0.11106382978723404,0.10697136158779325
spot_up/option_down/iv_flat,86,-6.806286286924801,-0.07914286380145118,-0.038375299068513405,-0.040767564646803194,0.006156084267412857,-0.038693046478393105,2021,agent,0.012198581560283688,0.017444164167383383
spot_up/option_down/iv_up,137,-4.064683405903695,-0.029669221940902886,-0.019551765362128472,-0.010117456615067615,0.0019214709412940165,-0.03266410933919488,2021,agent,0.019432624113475176,0.010417575992540154
spot_up/option_flat/iv_down,27,-0.32745282896787425,-0.012127882554365713,0.0,-0.012127882696362509,0.009406820531810835,-0.027779262260982658,2021,agent,0.003829787234042553,0.000839244878159622
spot_up/option_flat/iv_flat,1,-0.0017749737663093589,-0.0017749737663093589,0.0,-0.001774973801124305,0.015029290771980643,-0.0663516401171414,2021,agent,0.00014184397163120567,4.549167118018603e-06
spot_up/option_flat/iv_up,9,-0.11683834843591703,-0.012982038715101892,0.0,-0.01298203875578171,0.0038416133527026247,-0.02857395106067166,2021,agent,0.001276595744680851,0.00029945072029624375
spot_up/option_up/iv_down,2165,-164.8194001582751,-0.0761290531908892,0.362663285945513,-0.4387923393721634,0.019405127531534047,-0.028930541131421274,2021,agent,0.3070921985815603,0.422423705546133
spot_up/option_up/iv_flat,203,-14.682171164012237,-0.07232596632518343,0.2768548944058667,-0.34918086075272076,0.019514327682061496,-0.02803953334101979,2021,agent,0.028794326241134753,0.03762965489868785
spot_up/option_up/iv_up,535,-12.35268793578901,-0.02308913632857759,0.29909176589194975,-0.32218090218033096,0.0036019701587212747,-0.019243718133160982,2021,agent,0.07588652482269503,0.031659308347683136
spot_down/option_down/iv_down,3649,-448.2454843355006,-0.12284063697876146,-0.508969471354397,0.3861288345054146,-0.03792641006222488,-0.049532402590733916,2022,agent,0.3854034643008027,0.6052197701923631
spot_down/option_down/iv_flat,381,-30.61427416700459,-0.08035242563518266,-0.48717493083855656,0.4068225048022028,-0.03108497015675695,-0.038060031673079614,2022,agent,0.04024081115335868,0.04133530537051099
spot_down/option_down/iv_up,2641,-93.22069467391663,-0.03529749892991921,-0.3359819983419317,0.3006844992941618,-0.053269753306911485,-0.044952396119134694,2022,agent,0.2789395859738065,0.12586631517628863
spot_up/option_down/iv_down,595,-36.154647744056845,-0.06076411385555772,-0.03466622271783181,-0.026097891051415006,0.010443529003546883,-0.04129109294553133,2022,agent,0.06284326151246303,0.04881590191919515
spot_up/option_down/iv_flat,59,-14.9434583830334,-0.25327895564463393,-0.09947431935818885,-0.1538046364511733,0.009193722279561863,-0.03084286213255552,2022,agent,0.006231516687790452,0.020176614744632542
spot_up/option_down/iv_up,135,-3.145924249927571,-0.02330314259205608,-0.017931904394627204,-0.0053712382153029365,0.004956502915992953,-0.042370282380370376,2022,agent,0.014258555133079848,0.004247617919467246
spot_up/option_flat/iv_down,31,-0.6830881969454359,-0.022035103127272124,0.0,-0.022035103090930402,0.012727239645097773,-0.018266449481883735,2022,agent,0.00327418673426278,0.0009223037287019247
spot_up/option_flat/iv_up,22,-0.0024446826493487415,-0.00011112193860676098,0.0,-0.00011112193764591634,0.0006152979701190744,-0.016520200931685148,2022,agent,0.0023236163920574565,3.300803517129648e-06
